Zoekwoord,Thema,Cluster,Laag,Herkomst,Volume Vlaanderen,Volume Nederland,Moeilijkheid,Intentie,SERP-features,VisitArdenne positie,In FR-onderzoek,In eerder universum
natuurhuisje,Bijzonder overnachten,natuurhuisje,DEMANDGEN,MARKET-DISCOVERED,12100,90500,22,informational,compare_sites|hotels_pack|organic|people_also_ask|related_searches,,0,1
weekend weg,Weekend & korte vakantie,weekend weg,DEMANDGEN,MARKET-DISCOVERED,6600,74000,37,informational,compare_sites|google_reviews|knowledge_graph|local_pack|organic|people_also_ask|related_searches|third_party_reviews,,0,0
weekendje weg,Weekend & korte vakantie,weekendje weg,DEMANDGEN,MARKET-DISCOVERED,6600,74000,36,informational,google_reviews|knowledge_graph|organic|people_also_ask|related_searches|third_party_reviews,,0,1
elburg,Uit concurrent- & SERP-analyse,elburg,SUBSTITUTE,COMPETITOR-DISCOVERED,1000,74000,,,,,0,0
durbuy,Uit concurrent- & SERP-analyse,durbuy,CORE,COMPETITOR-DISCOVERED,33100,33100,,,,4,0,0
fietsknooppunten,Fietsen & mountainbike,fietsknooppunten,DEMANDGEN,MARKET-DISCOVERED,40500,18100,50,informational,images|organic|people_also_ask|related_searches,,0,0
dinant,Uit concurrent- & SERP-analyse,dinant,CORE,COMPETITOR-DISCOVERED,27100,27100,,,,4,0,0
belgium dinant,Uit concurrent- & SERP-analyse,belgium dinant,CORE,COMPETITOR-DISCOVERED,27100,27100,,,,6,0,0
dinant belgium,Uit concurrent- & SERP-analyse,dinant belgium,CORE,COMPETITOR-DISCOVERED,27100,27100,,,,2,0,0
monschau,Uit concurrent- & SERP-analyse,monschau,SUBSTITUTE,COMPETITOR-DISCOVERED,12100,40500,,,,,0,0
wandelen,Wandelen,wandelend,DEMANDGEN,MARKET-DISCOVERED,12100,33100,46,informational,compare_sites|local_pack|organic|people_also_ask|people_also_search|related_searches,,0,1
luik,Uit concurrent- & SERP-analyse,luik,CORE,COMPETITOR-DISCOVERED,14800,27100,,,,,0,0
pretparken,Attracties,pretpark,DEMANDGEN,MARKET-DISCOVERED,9900,27100,42,navigational,,,0,1
